,question,answer,answer_context
478,What time did the incident occur? (Enter the time in HH:MM format),2:30pm,"Employee: No, there was no property damage. It happened at 2:30pm."
479,Where did the incident occur? (Please provide the specific location),in the warehouse,Employee: It occurred in the warehouse.
480,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,Employee: It was moderate.
481,"Were there any injuries sustained? If yes, please describe.",sprained my ankle,"Employee: Yes, I sprained my ankle."
482,"Were there any witnesses to the incident? (Provide names or state ""None"")",John Smith,Employee: John Smith witnessed it. First aid was administered. 
483,What immediate actions were taken following the incident?,First aid was administered,Employee: John Smith witnessed it. First aid was administered. 
484,"Please provide your contact information (Name, Email, Phone).",555-0234,"Employee: My name is Jordan Casey, email is jordan.casey@email.com, phone number is 555-0234, and the date was February 15, 2023."
485,When did the incident occur? (Enter the date in YYYY-MM-DD format),"February 15, 2023","Employee: My name is Jordan Casey, email is jordan.casey@email.com, phone number is 555-0234, and the date was February 15, 2023."
486,How many individuals were affected by the incident? (Enter a number),Just me,"Employee: Just me, and there needs to be better lighting in the warehouse."
487,Are there any additional notes or observations you would like to report?,there needs to be better lighting in the warehouse,"Employee: Just me, and there needs to be better lighting in the warehouse."
488,How many total days are you taking off?,10,Employee: I'm requesting 10 days of vacation time.
489,"Please provide an emergency contact method if needed (Phone, Email).",email,"Employee: You can reach me by email, and there's no other information I need to include."
490,Are there any additional notes or information related to your time off request?,no other information I need to include,"Employee: You can reach me by email, and there's no other information I need to include."
491,When does your time off start? (Enter the date in YYYY-MM-DD format),2023-06-01,Employee: My time off will start on 2023-06-01.
492,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I'm requesting vacation leave.
493,When does your time off end? (Enter the date in YYYY-MM-DD format),2023-06-10,Employee: My time off will end on 2023-06-10. 
494,"Have you taken any other time off recently? (If yes, please provide details)",I haven't taken any other time off recently. During my vacation,"Employee: I haven't taken any other time off recently. During my vacation, I'll have limited availability by email in case anything comes up."
495,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited availability by email,"Employee: I haven't taken any other time off recently. During my vacation, I'll have limited availability by email in case anything comes up."
496,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",vacation,Employee: I'm taking the time off for a planned vacation. John agreed to cover any of my responsibilities while I'm out.
497,Have you arranged for someone to cover your responsibilities? (Provide details),John agreed to cover any of my responsibilities while I'm out,Employee: I'm taking the time off for a planned vacation. John agreed to cover any of my responsibilities while I'm out.
498,"Which category does this goal belong to? (e.g., Personal, Professional, Health, Financial)",financial,Employee: It's a financial goal.
499,By when do you aim to achieve this goal? (Enter the date in YYYY-MM-DD format),by the end of 2040,Employee: I'm aiming to have it done by the end of 2040 and I'll review how things are going on a quarterly basis.  
500,"How often do you plan to review and assess your progress? (e.g., Weekly, Monthly)",quarterly,Employee: I'm aiming to have it done by the end of 2040 and I'll review how things are going on a quarterly basis.  
501,"What resources do you need to achieve this goal? (e.g., Time, Money, Support)","Income, investments, and saving up the target amount","Employee: Income, investments, and saving up the target amount will help. Reaching the saved target amount will let me know I've achieved the goal."
